Plz;Gesamtpreis Euro/Jahr DT;Durchschnittspreis ct/kWh DT;Grundpreis Euro/Jahr DT;Arbeitspreis ct/kWh DT;MSB Euro/Jahr DT;Grundpreis Euro/Jahr ET;Arbeitspreis ct/kWh ET;MSB Euro/Jahr ET;KA;Bundesland;Gemeinde;VDEWID;Netzbetreiber
1067;398.53;11.3866;30;6.96;13.14;30;6.96;11.68;2.39;Sachsen;Dresden;9900750000006;DREWAG NETZ GmbH
1069;398.53;11.3866;30;6.96;13.14;30;6.96;11.68;2.39;Sachsen;Dresden;9900750000006;DREWAG NETZ GmbH
1097;398.53;11.3866;30;6.96;13.14;30;6.96;11.68;2.39;Sachsen;Dresden;9900750000006;DREWAG NETZ GmbH
1099;398.53;11.3866;30;6.96;13.14;30;6.96;11.68;2.39;Sachsen;Dresden;9900750000006;DREWAG NETZ GmbH
1108;398.53;11.3866;30;6.96;13.14;30;6.96;11.68;2.39;Sachsen;Dresden;9900750000006;DREWAG NETZ GmbH
1109;398.53;11.3866;30;6.96;13.14;30;6.96;11.68;2.39;Sachsen;Dresden;9900750000006;DREWAG NETZ GmbH
1127;398.53;11.3866;30;6.96;13.14;30;6.96;11.68;2.39;Sachsen;Dresden;9900750000006;DREWAG NETZ GmbH
1129;398.53;11.3866;30;6.96;13.14;30;6.96;11.68;2.39;Sachsen;Dresden;9900750000006;DREWAG NETZ GmbH
1139;398.53;11.3866;30;6.96;13.14;30;6.96;11.68;2.39;Sachsen;Dresden;9900750000006;DREWAG NETZ GmbH
1156;398.53;11.3866;30;6.96;13.14;30;6.96;11.68;2.39;Sachsen;Dresden;9900750000006;DREWAG NETZ GmbH
1157;398.53;11.3866;30;6.96;13.14;30;6.96;11.68;2.39;Sachsen;Dresden;9900750000006;DREWAG NETZ GmbH
1159;398.53;11.3866;30;6.96;13.14;30;6.96;11.68;2.39;Sachsen;Dresden;9900750000006;DREWAG NETZ GmbH
1169;398.53;11.3866;30;6.96;13.14;30;6.96;11.68;2.39;Sachsen;Dresden;9900750000006;DREWAG NETZ GmbH
1187;398.53;11.3866;30;6.96;13.14;30;6.96;11.68;2.39;Sachsen;Dresden;9900750000006;DREWAG NETZ GmbH
1189;398.53;11.3866;30;6.96;13.14;30;6.96;11.68;2.39;Sachsen;Dresden;9900750000006;DREWAG NETZ GmbH
1217;398.53;11.3866;30;6.96;13.14;30;6.96;11.68;2.39;Sachsen;Dresden;9900750000006;DREWAG NETZ GmbH
1219;398.53;11.3866;30;6.96;13.14;30;6.96;11.68;2.39;Sachsen;Dresden;9900750000006;DREWAG NETZ GmbH
1237;398.53;11.3866;30;6.96;13.14;30;6.96;11.68;2.39;Sachsen;Dresden;9900750000006;DREWAG NETZ GmbH
1239;398.53;11.3866;30;6.96;13.14;30;6.96;11.68;2.39;Sachsen;Dresden;9900750000006;DREWAG NETZ GmbH
1257;398.53;11.3866;30;6.96;13.14;30;6.96;11.68;2.39;Sachsen;Dresden;9900750000006;DREWAG NETZ GmbH
1259;398.53;11.3866;30;6.96;13.14;30;6.96;11.68;2.39;Sachsen;Dresden;9900750000006;DREWAG NETZ GmbH
1277;398.53;11.3866;30;6.96;13.14;30;6.96;11.68;2.39;Sachsen;Dresden;9900750000006;DREWAG NETZ GmbH
1279;398.53;11.3866;30;6.96;13.14;30;6.96;11.68;2.39;Sachsen;Dresden;9900750000006;DREWAG NETZ GmbH
1307;398.53;11.3866;30;6.96;13.14;30;6.96;11.68;2.39;Sachsen;Dresden;9900750000006;DREWAG NETZ GmbH
1309;398.53;11.3866;30;6.96;13.14;30;6.96;11.68;2.39;Sachsen;Dresden;9900750000006;DREWAG NETZ GmbH
1324;398.53;11.3866;30;6.96;13.14;30;6.96;11.68;2.39;Sachsen;Dresden;9900750000006;DREWAG NETZ GmbH
1326;398.53;11.3866;30;6.96;13.14;30;6.96;11.68;2.39;Sachsen;Dresden;9900750000006;DREWAG NETZ GmbH
1328;398.53;11.3866;30;6.96;13.14;30;6.96;11.68;2.39;Sachsen;Dresden;9900750000006;DREWAG NETZ GmbH
1445;292.78;8.3651;35;4.65;11.24;35;4.65;10;1.59;Sachsen;Radebeul;9900912000000;Stadtwerke Elbtal GmbH
1454;363.21;10.3774;30;7;13.87;30;7;12.41;1.32;Sachsen;Radeberg;9900726000006;ENSO Netz GmbH
1454;363.21;10.3774;30;7;13.87;30;7;12.41;1.32;Sachsen;Wachau;9900726000006;ENSO Netz GmbH
1458;363.21;10.3774;30;7;13.87;30;7;12.41;1.32;Sachsen;Ottendorf-Okrilla;9900726000006;ENSO Netz GmbH
1465;398.53;11.3866;30;6.96;13.14;30;6.96;11.68;2.39;Sachsen;Dresden;9900750000006;DREWAG NETZ GmbH
1468;361.08;10.3166;30;6.96;13.14;30;6.96;11.68;1.32;Sachsen;Moritzburg;9900750000006;DREWAG NETZ GmbH
1468;363.21;10.3774;30;7;13.87;30;7;12.41;1.32;Sachsen;Moritzburg;9900726000006;ENSO Netz GmbH
1471;363.21;10.3774;30;7;13.87;30;7;12.41;1.32;Sachsen;Radeburg;9900726000006;ENSO Netz GmbH
1477;363.21;10.3774;30;7;13.87;30;7;12.41;1.32;Sachsen;Arnsdorf;9900726000006;ENSO Netz GmbH
