first_name;last_name;email;phone;fax;title ;prefix ;preferred_language 
Philipp;Operator;dev+ops@buzzn.net;0221 - 34353535;;;M;DE
Wolfgang;Owner;dev+owner@buzzn.net;089 - 33445566;;Dr.;M;DE
Sabine;Powertaker1;dev+pt1@buzzn.net;0171 / 55554432;;Prof.;F;DE
Claudia;Powertaker2;dev+pt2@buzzn.net;+49 69 4343 5435;;Prof. Dr.;F;DE
Bernd;Powertaker3;dev+pt3@buzzn.net;;;;M;DE
Karlheinz;Powertaker4;dev+pt4@buzzn.net;;;;M;DE
Sylvia;Powertaker5a;dev+pt5a@buzzn.net;;;;F;DE
Fritz;Powertaker5b;dev+pt5b@buzzn.net;;;;;
Horst;Powertaker6;dev+pt6@buzzn.net;;;;M;DE
Karla;Powertaker7;dev+pt7@buzzn.net;;;;F;DE
Geoffrey;Powertaker8;dev+pt8@buzzn.net;;;;M;EN
Justine;Powertaker9;dev+pt9@buzzn.net;;;;F;DE
Mohammed;Powertaker10;dev+pt10@buzzn.net;;;;M;DE
Traudl;Brumbauer;dev+mgr@buzzn.net;;;;F;DE
Peter;Schmidt;dev+contact@buzzn.net;;;;;
